zone,file,year,topic,topic_confidence
texts_climate_only_Zone2,UNGA48_1993_IDN_48_1993_CLIMATE.txt,,2,1.0
texts_climate_only_Zone2,UNGA48_1993_IRL_48_1993_CLIMATE.txt,,0,0.8306711864221317
texts_climate_only_Zone2,UNGA48_1993_KHM_48_1993_CLIMATE.txt,,2,0.8381661240056928
texts_climate_only_Zone2,UNGA48_1993_KOR_48_1993_CLIMATE.txt,,0,0.6175064222046378
texts_climate_only_Zone2,UNGA48_1993_LAO_48_1993_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA48_1993_MDV_48_1993_CLIMATE.txt,,1,0.9101030586722167
texts_climate_only_Zone2,UNGA48_1993_MHL_48_1993_CLIMATE.txt,,0,0.7959142735921781
texts_climate_only_Zone2,UNGA48_1993_MLI_48_1993_CLIMATE.txt,,1,1.0
texts_climate_only_Zone2,UNGA48_1993_MLT_48_1993_CLIMATE.txt,,0,0.8598818973162797
texts_climate_only_Zone2,UNGA48_1993_MNG_48_1993_CLIMATE.txt,,1,0.7737498364785953
texts_climate_only_Zone2,UNGA48_1993_MUS_48_1993_CLIMATE.txt,,1,0.5694667508081055
texts_climate_only_Zone2,UNGA48_1993_NOR_48_1993_CLIMATE.txt,,1,0.7325326678893311
texts_climate_only_Zone2,UNGA48_1993_NZL_48_1993_CLIMATE.txt,,1,0.30661064154817547
texts_climate_only_Zone2,UNGA48_1993_OMN_48_1993_CLIMATE.txt,,-1,0.20642132083182285
texts_climate_only_Zone2,UNGA48_1993_PHL_48_1993_CLIMATE.txt,,2,0.15054138309684498
texts_climate_only_Zone2,UNGA48_1993_SAU_48_1993_CLIMATE.txt,,0,0.46989023885390874
texts_climate_only_Zone2,UNGA48_1993_SLB_48_1993_CLIMATE.txt,,0,0.8998824032348898
texts_climate_only_Zone2,UNGA48_1993_TKM_48_1993_CLIMATE.txt,,-1,0.19645981415848668
texts_climate_only_Zone2,UNGA48_1993_UGA_48_1993_CLIMATE.txt,,2,1.0
texts_climate_only_Zone2,UNGA48_1993_USA_48_1993_CLIMATE.txt,,0,0.5151144236173221
texts_climate_only_Zone2,UNGA48_1993_WSM_48_1993_CLIMATE.txt,,0,0.684310742304136
texts_climate_only_Zone2,UNGA49_1994_ALB_49_1994_CLIMATE.txt,,2,0.2945437171079559
texts_climate_only_Zone2,UNGA49_1994_BLZ_49_1994_CLIMATE.txt,,0,0.7605771104261929
texts_climate_only_Zone2,UNGA49_1994_CRI_49_1994_CLIMATE.txt,,1,1.0
texts_climate_only_Zone2,UNGA49_1994_DEU_49_1994_CLIMATE.txt,,0,0.8086008095814751
texts_climate_only_Zone2,UNGA49_1994_DNK_49_1994_CLIMATE.txt,,2,0.15625964600272002
texts_climate_only_Zone2,UNGA49_1994_ETH_49_1994_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA49_1994_FSM_49_1994_CLIMATE.txt,,0,0.45137281496583387
texts_climate_only_Zone2,UNGA49_1994_GRD_49_1994_CLIMATE.txt,,1,0.4770755940371725
