zone,file,year,topic,topic_confidence
texts_climate_only_Zone5,UNGA71_2016_AFG_71_2016_CLIMATE.txt,,2,0.3113370278832732
texts_climate_only_Zone5,UNGA71_2016_AGO_71_2016_CLIMATE.txt,,1,0.18787261262530083
texts_climate_only_Zone5,UNGA71_2016_ALB_71_2016_CLIMATE.txt,,-1,0.25117075257240157
texts_climate_only_Zone5,UNGA71_2016_AND_71_2016_CLIMATE.txt,,12,0.19233052191041308
texts_climate_only_Zone5,UNGA71_2016_ARE_71_2016_CLIMATE.txt,,-1,0.10023752771732286
texts_climate_only_Zone5,UNGA71_2016_ARG_71_2016_CLIMATE.txt,,3,1.0
texts_climate_only_Zone5,UNGA71_2016_ATG_71_2016_CLIMATE.txt,,0,0.25022559081419776
texts_climate_only_Zone5,UNGA71_2016_AUS_71_2016_CLIMATE.txt,,12,1.0
texts_climate_only_Zone5,UNGA71_2016_AUT_71_2016_CLIMATE.txt,,3,0.15409469126836364
texts_climate_only_Zone5,UNGA71_2016_BDI_71_2016_CLIMATE.txt,,1,0.2245114184925905
texts_climate_only_Zone5,UNGA71_2016_BEL_71_2016_CLIMATE.txt,,3,0.1847003912259792
texts_climate_only_Zone5,UNGA71_2016_BEN_71_2016_CLIMATE.txt,,1,0.4884750586365376
texts_climate_only_Zone5,UNGA71_2016_BFA_71_2016_CLIMATE.txt,,-1,0.06007153926677119
texts_climate_only_Zone5,UNGA71_2016_BGD_71_2016_CLIMATE.txt,,17,1.0
texts_climate_only_Zone5,UNGA71_2016_BGR_71_2016_CLIMATE.txt,,3,0.25766044300647856
texts_climate_only_Zone5,UNGA71_2016_BHR_71_2016_CLIMATE.txt,,3,0.3997341023022091
texts_climate_only_Zone5,UNGA71_2016_BHS_71_2016_CLIMATE.txt,,-1,0.0344175550591679
texts_climate_only_Zone5,UNGA71_2016_BIH_71_2016_CLIMATE.txt,,-1,0.11058378256985875
texts_climate_only_Zone5,UNGA71_2016_BLR_71_2016_CLIMATE.txt,,2,1.0
texts_climate_only_Zone5,UNGA71_2016_BLZ_71_2016_CLIMATE.txt,,4,0.08849805919997611
texts_climate_only_Zone5,UNGA71_2016_BOL_71_2016_CLIMATE.txt,,-1,0.18283434553204772
texts_climate_only_Zone5,UNGA71_2016_BRA_71_2016_CLIMATE.txt,,3,0.15732398900708489
texts_climate_only_Zone5,UNGA71_2016_BRB_71_2016_CLIMATE.txt,,0,0.4704951273301959
texts_climate_only_Zone5,UNGA71_2016_BTN_71_2016_CLIMATE.txt,,-1,0.08899958277410927
texts_climate_only_Zone5,UNGA71_2016_BWA_71_2016_CLIMATE.txt,,-1,0.14226189043333193
texts_climate_only_Zone5,UNGA71_2016_CAF_71_2016_CLIMATE.txt,,3,0.2381729662554545
texts_climate_only_Zone5,UNGA71_2016_CAN_71_2016_CLIMATE.txt,,-1,0.06350408462734884
texts_climate_only_Zone5,UNGA71_2016_CHE_71_2016_CLIMATE.txt,,3,1.0
texts_climate_only_Zone5,UNGA71_2016_CHL_71_2016_CLIMATE.txt,,3,1.0
texts_climate_only_Zone5,UNGA71_2016_CHN_71_2016_CLIMATE.txt,,3,0.16735900968205192
texts_climate_only_Zone5,UNGA71_2016_CIV_71_2016_CLIMATE.txt,,-1,0.11095602753016713
texts_climate_only_Zone5,UNGA71_2016_CMR_71_2016_CLIMATE.txt,,3,0.31741873414030897
texts_climate_only_Zone5,UNGA71_2016_COD_71_2016_CLIMATE.txt,,-1,0.08684871553326452
texts_climate_only_Zone5,UNGA71_2016_COG_71_2016_CLIMATE.txt,,1,0.1591139332792367
texts_climate_only_Zone5,UNGA71_2016_COL_71_2016_CLIMATE.txt,,3,1.0
texts_climate_only_Zone5,UNGA71_2016_COM_71_2016_CLIMATE.txt,,3,0.12786516285728677
texts_climate_only_Zone5,UNGA71_2016_CPV_71_2016_CLIMATE.txt,,-1,0.11305354918831541
