Zone,Documents,MeanDocCompound,MedianDocCompound,StdDocCompound,MinDocCompound,MaxDocCompound
texts_climate_only_Zone1,187,-0.044890353217044404,0.0,0.45628874481558257,-0.9732,0.886
texts_climate_only_Zone2,199,0.26766384973206586,0.29205,0.44004796204515145,-0.9607,0.9337
texts_climate_only_Zone3,834,0.09150302496558642,0.11600833333333332,0.396363118246706,-0.9735,0.9705
texts_climate_only_Zone4,803,0.12057079024197076,0.156865,0.4053224052025354,-0.9674,0.9621
texts_climate_only_Zone5,1495,0.10758467661583697,0.12482857142857143,0.3557138790612641,-0.979,0.96685
